350 15260
1 4 1
1 5 1
1 11 1
1 14 1
1 15 1
1 17 1
1 26 1
1 28 1
1 31 1
1 41 1
1 43 1
1 46 1
1 48 1
1 50 1
1 52 1
1 55 1
1 62 1
1 64 1
1 68 1
1 71 1
1 72 1
1 76 1
1 77 1
1 82 1
1 84 1
1 87 1
1 95 1
1 96 1
1 99 1
1 103 1
1 111 1
1 115 1
1 133 1
1 137 1
1 144 1
1 150 1
1 151 1
1 153 1
1 154 1
1 155 1
1 159 1
1 171 1
1 175 1
1 177 1
1 180 1
1 181 1
1 191 1
1 194 1
1 201 1
1 206 1
1 208 1
1 209 1
1 219 1
1 220 1
1 221 1
1 222 1
1 223 1
1 232 1
1 237 1
1 243 1
1 246 1
1 250 1
1 251 1
1 253 1
1 254 1
1 258 1
1 261 1
1 262 1
1 266 1
1 275 1
1 278 1
1 280 1
1 287 1
1 290 1
1 299 1
1 301 1
1 302 1
1 304 1
1 310 1
1 314 1
1 321 1
1 324 1
1 332 1
1 339 1
1 344 1
1 345 1
1 348 1
2 10 1
2 11 1
2 17 1
2 26 1
2 27 1
2 32 1
2 38 1
2 46 1
2 47 1
2 54 1
2 55 1
2 57 1
2 59 1
2 68 1
2 72 1
2 74 1
2 75 1
2 76 1
2 80 1
2 87 1
2 91 1
2 93 1
2 95 1
2 96 1
2 97 1
2 101 1
2 111 1
2 114 1
2 118 1
2 123 1
2 124 1
2 126 1
2 130 1
2 133 1
2 134 1
2 138 1
2 139 1
2 141 1
2 145 1
2 147 1
2 150 1
2 153 1
2 155 1
2 164 1
2 165 1
2 170 1
2 171 1
2 174 1
2 180 1
2 181 1
2 182 1
2 187 1
2 188 1
2 193 1
2 194 1
2 204 1
2 225 1
2 227 1
2 238 1
2 244 1
2 247 1
2 249 1
2 250 1
2 257 1
2 260 1
2 261 1
2 265 1
2 269 1
2 271 1
2 283 1
2 291 1
2 292 1
2 294 1
2 296 1
2 297 1
2 302 1
2 306 1
2 310 1
2 319 1
2 321 1
2 324 1
2 327 1
2 329 1
2 333 1
2 340 1
2 341 1
2 347 1
3 5 1
3 8 1
3 22 1
3 25 1
3 36 1
3 37 1
3 38 1
3 41 1
3 42 1
3 45 1
3 47 1
3 52 1
3 54 1
3 55 1
3 57 1
3 66 1
3 68 1
3 87 1
3 90 1
3 91 1
3 95 1
3 96 1
3 97 1
3 111 1
3 113 1
3 116 1
3 123 1
3 124 1
3 127 1
3 130 1
3 132 1
3 137 1
3 141 1
3 142 1
3 147 1
3 153 1
3 156 1
3 164 1
3 167 1
3 176 1
3 179 1
3 180 1
3 181 1
3 208 1
3 214 1
3 216 1
3 218 1
3 223 1
3 231 1
3 238 1
3 239 1
3 240 1
3 243 1
3 244 1
3 255 1
3 256 1
3 262 1
3 268 1
3 269 1
3 275 1
3 278 1
3 288 1
3 290 1
3 291 1
3 292 1
3 293 1
3 297 1
3 300 1
3 303 1
3 305 1
3 311 1
3 321 1
3 324 1
3 332 1
3 336 1
3 339 1
3 342 1
3 343 1
3 346 1
3 347 1
4 5 1
4 9 1
4 10 1
4 12 1
4 20 1
4 21 1
4 22 1
4 28 1
4 30 1
4 35 1
4 39 1
4 41 1
4 42 1
4 43 1
4 48 1
4 49 1
4 59 1
4 62 1
4 63 1
4 64 1
4 65 1
4 71 1
4 77 1
4 80 1
4 86 1
4 103 1
4 104 1
4 106 1
4 109 1
4 110 1
4 111 1
4 112 1
4 117 1
4 118 1
4 121 1
4 123 1
4 139 1
4 141 1
4 142 1
4 148 1
4 152 1
4 155 1
4 159 1
4 161 1
4 163 1
4 165 1
4 166 1
4 171 1
4 177 1
4 180 1
4 183 1
4 185 1
4 189 1
4 195 1
4 198 1
4 205 1
4 210 1
4 215 1
4 217 1
4 218 1
4 222 1
4 223 1
4 233 1
4 236 1
4 240 1
4 241 1
4 245 1
4 258 1
4 262 1
4 265 1
4 267 1
4 268 1
4 273 1
4 274 1
4 277 1
4 283 1
4 286 1
4 294 1
4 304 1
4 306 1
4 317 1
4 318 1
4 326 1
4 328 1
4 337 1
4 342 1
4 346 1
4 347 1
5 11 1
5 15 1
5 19 1
5 20 1
5 22 1
5 24 1
5 26 1
5 34 1
5 38 1
5 39 1
5 43 1
5 46 1
5 49 1
5 51 1
5 59 1
5 63 1
5 71 1
5 72 1
5 73 1
5 76 1
5 77 1
5 79 1
5 80 1
5 83 1
5 84 1
5 86 1
5 89 1
5 91 1
5 96 1
5 101 1
5 102 1
5 103 1
5 107 1
5 112 1
5 118 1
5 129 1
5 132 1
5 137 1
5 139 1
5 145 1
5 146 1
5 151 1
5 153 1
5 154 1
5 155 1
5 157 1
5 160 1
5 161 1
5 170 1
5 172 1
5 177 1
5 180 1
5 182 1
5 201 1
5 212 1
5 214 1
5 218 1
5 226 1
5 231 1
5 233 1
5 234 1
5 240 1
5 243 1
5 245 1
5 268 1
5 277 1
