50 146
1 7 1
1 17 1
1 19 1
1 22 1
1 23 1
1 35 1
1 37 1
1 43 1
1 45 1
1 50 1
2 45 1
2 46 1
2 49 1
3 8 1
3 11 1
3 12 1
3 26 1
3 36 1
3 37 1
3 39 1
3 45 1
3 50 1
4 10 1
4 20 1
4 28 1
4 29 1
4 30 1
4 41 1
4 43 1
5 11 1
5 13 1
5 15 1
5 18 1
5 20 1
5 24 1
5 32 1
5 48 1
6 9 1
6 33 1
6 38 1
6 41 1
6 48 1
7 23 1
7 29 1
7 47 1
7 50 1
8 9 1
8 16 1
8 17 1
8 21 1
8 23 1
8 31 1
8 34 1
8 44 1
8 45 1
9 29 1
9 41 1
9 47 1
9 48 1
10 11 1
10 18 1
10 25 1
10 39 1
10 45 1
10 46 1
10 48 1
11 29 1
11 50 1
12 19 1
12 31 1
12 48 1
13 22 1
13 26 1
13 39 1
13 43 1
13 44 1
14 18 1
14 29 1
14 31 1
14 40 1
14 45 1
15 40 1
16 20 1
16 31 1
16 35 1
16 38 1
16 42 1
17 20 1
17 24 1
17 27 1
17 38 1
17 41 1
17 46 1
18 26 1
20 26 1
20 28 1
20 36 1
20 40 1
20 50 1
21 27 1
21 32 1
22 35 1
22 41 1
23 34 1
23 44 1
23 45 1
23 50 1
24 35 1
24 40 1
24 46 1
25 34 1
25 38 1
25 48 1
26 34 1
27 31 1
27 32 1
27 45 1
28 29 1
28 37 1
28 43 1
28 45 1
29 35 1
29 36 1
29 45 1
29 47 1
30 34 1
30 40 1
30 45 1
31 38 1
31 41 1
31 50 1
32 43 1
32 45 1
32 48 1
33 44 1
35 39 1
35 44 1
35 48 1
36 40 1
36 44 1
36 46 1
36 50 1
38 39 1
40 41 1
41 47 1
42 48 1
