200 4998
1 2 1
1 10 1
1 14 1
1 25 1
1 30 1
1 34 1
1 35 1
1 38 1
1 45 1
1 46 1
1 50 1
1 53 1
1 54 1
1 60 1
1 67 1
1 70 1
1 71 1
1 73 1
1 76 1
1 81 1
1 88 1
1 89 1
1 94 1
1 96 1
1 100 1
1 101 1
1 102 1
1 103 1
1 108 1
1 111 1
1 114 1
1 115 1
1 117 1
1 118 1
1 122 1
1 130 1
1 132 1
1 134 1
1 135 1
1 138 1
1 140 1
1 144 1
1 147 1
1 148 1
1 159 1
1 161 1
1 165 1
1 172 1
1 174 1
1 178 1
1 179 1
1 189 1
1 194 1
1 198 1
1 199 1
1 200 1
2 4 1
2 6 1
2 12 1
2 13 1
2 15 1
2 28 1
2 37 1
2 49 1
2 60 1
2 66 1
2 76 1
2 88 1
2 90 1
2 92 1
2 93 1
2 94 1
2 96 1
2 106 1
2 113 1
2 124 1
2 130 1
2 137 1
2 138 1
2 143 1
2 145 1
2 146 1
2 152 1
2 153 1
2 156 1
2 158 1
2 165 1
2 166 1
2 169 1
2 171 1
2 172 1
2 173 1
2 179 1
2 187 1
2 191 1
2 195 1
2 196 1
2 199 1
2 200 1
3 4 1
3 5 1
3 7 1
3 10 1
3 14 1
3 22 1
3 28 1
3 30 1
3 31 1
3 37 1
3 38 1
3 43 1
3 55 1
3 60 1
3 61 1
3 62 1
3 64 1
3 65 1
3 68 1
3 69 1
3 72 1
3 73 1
3 74 1
3 76 1
3 80 1
3 90 1
3 91 1
3 95 1
3 96 1
3 106 1
3 122 1
3 127 1
3 128 1
3 129 1
3 130 1
3 131 1
3 142 1
3 143 1
3 151 1
3 153 1
3 155 1
3 159 1
3 161 1
3 162 1
3 163 1
3 172 1
3 173 1
3 186 1
3 187 1
3 191 1
3 192 1
3 193 1
3 195 1
3 196 1
3 200 1
4 5 1
4 6 1
4 21 1
4 22 1
4 25 1
4 28 1
4 31 1
4 36 1
4 41 1
4 50 1
4 52 1
4 53 1
4 57 1
4 61 1
4 62 1
4 78 1
4 79 1
4 84 1
4 85 1
4 86 1
4 90 1
4 102 1
4 106 1
4 109 1
4 114 1
4 117 1
4 119 1
4 123 1
4 136 1
4 139 1
4 145 1
4 149 1
4 155 1
4 163 1
4 171 1
4 172 1
4 182 1
5 10 1
5 20 1
5 21 1
5 23 1
5 25 1
5 30 1
5 32 1
5 34 1
5 35 1
5 36 1
5 37 1
5 42 1
5 45 1
5 58 1
5 64 1
5 72 1
5 81 1
5 87 1
5 91 1
5 92 1
5 94 1
5 98 1
5 102 1
5 106 1
5 108 1
5 111 1
5 112 1
5 113 1
5 117 1
5 132 1
5 136 1
5 145 1
5 155 1
5 158 1
5 162 1
5 164 1
5 167 1
5 175 1
5 180 1
5 184 1
5 186 1
5 187 1
5 189 1
5 192 1
5 195 1
5 197 1
6 12 1
6 13 1
6 15 1
6 17 1
6 20 1
6 21 1
6 25 1
6 27 1
6 29 1
6 31 1
6 35 1
6 36 1
6 42 1
6 46 1
6 49 1
6 67 1
6 71 1
6 72 1
6 79 1
6 89 1
6 91 1
6 94 1
6 98 1
6 99 1
6 103 1
6 107 1
6 108 1
6 109 1
6 110 1
6 113 1
6 114 1
6 115 1
6 118 1
6 127 1
6 130 1
6 133 1
6 136 1
6 140 1
6 156 1
6 157 1
6 162 1
6 163 1
6 176 1
6 179 1
6 182 1
6 184 1
6 185 1
6 191 1
7 8 1
7 9 1
7 15 1
7 16 1
7 22 1
7 42 1
7 45 1
7 50 1
7 51 1
7 62 1
7 63 1
7 65 1
7 67 1
7 68 1
7 71 1
7 76 1
7 77 1
7 82 1
7 84 1
7 85 1
7 93 1
7 94 1
7 96 1
7 101 1
7 103 1
7 107 1
7 109 1
7 113 1
7 115 1
7 119 1
7 126 1
7 127 1
7 128 1
7 132 1
7 138 1
7 145 1
7 148 1
7 154 1
7 155 1
7 164 1
7 167 1
7 168 1
7 169 1
7 170 1
7 174 1
7 175 1
7 176 1
7 189 1
7 190 1
7 193 1
7 196 1
7 198 1
7 199 1
7 200 1
8 11 1
8 12 1
8 13 1
8 18 1
8 23 1
8 30 1
8 33 1
8 37 1
8 40 1
8 41 1
8 43 1
8 45 1
8 55 1
8 60 1
8 63 1
8 72 1
8 76 1
8 78 1
8 79 1
8 81 1
8 99 1
8 100 1
8 105 1
8 108 1
8 118 1
8 119 1
8 121 1
8 122 1
8 125 1
8 128 1
8 136 1
8 141 1
8 142 1
8 143 1
8 144 1
8 147 1
8 149 1
8 150 1
8 151 1
8 153 1
8 158 1
8 166 1
8 167 1
8 170 1
8 172 1
8 174 1
8 175 1
8 177 1
8 178 1
8 183 1
8 187 1
8 188 1
8 194 1
8 196 1
8 199 1
9 11 1
9 15 1
9 35 1
9 43 1
9 44 1
9 45 1
9 47 1
9 48 1
9 49 1
9 50 1
9 52 1
9 53 1
9 54 1
9 55 1
9 61 1
9 65 1
9 69 1
9 70 1
9 73 1
9 74 1
9 75 1
9 82 1
9 87 1
9 103 1
9 104 1
9 106 1
9 108 1
9 109 1
9 114 1
9 117 1
9 129 1
9 135 1
9 136 1
9 137 1
9 138 1
9 140 1
9 153 1
9 154 1
9 157 1
9 158 1
9 160 1
9 161 1
9 168 1
9 171 1
9 172 1
9 176 1
9 177 1
9 180 1
9 183 1
9 184 1
9 189 1
9 191 1
9 194 1
9 196 1
9 197 1
9 200 1
10 11 1
10 12 1
10 15 1
10 18 1
10 24 1
10 32 1
10 35 1
10 36 1
10 37 1
10 40 1
10 43 1
10 50 1
10 52 1
10 58 1
10 65 1
10 66 1
10 75 1
10 86 1
10 88 1
10 97 1
10 98 1
10 100 1
10 102 1
10 111 1
10 112 1
10 125 1
10 132 1
10 139 1
10 140 1
10 145 1
10 147 1
10 159 1
10 161 1
10 162 1
10 174 1
10 179 1
10 184 1
10 191 1
10 192 1
10 196 1
10 199 1
11 12 1
11 14 1
11 19 1
11 20 1
11 25 1
11 26 1
11 32 1
11 34 1
11 44 1
11 45 1
11 46 1
11 47 1
11 55 1
11 57 1
11 58 1
11 72 1
11 73 1
11 74 1
11 76 1
11 77 1
11 81 1
11 93 1
11 94 1
11 104 1
11 116 1
11 119 1
