100 426
1 8 1
1 11 1
1 20 1
1 76 1
1 79 1
1 81 1
1 85 1
1 92 1
2 28 1
2 41 1
2 42 1
2 44 1
2 48 1
2 49 1
2 54 1
2 58 1
2 68 1
2 70 1
2 78 1
2 79 1
2 84 1
3 10 1
3 11 1
3 12 1
3 44 1
3 49 1
3 53 1
3 55 1
3 74 1
3 76 1
3 89 1
4 12 1
4 24 1
4 37 1
4 59 1
4 61 1
4 64 1
4 68 1
4 70 1
4 90 1
4 91 1
5 22 1
5 24 1
5 31 1
5 39 1
5 62 1
5 74 1
5 79 1
5 82 1
6 26 1
6 55 1
6 59 1
6 90 1
7 14 1
7 19 1
7 45 1
7 56 1
7 74 1
7 79 1
7 84 1
7 93 1
7 98 1
8 11 1
8 20 1
8 22 1
8 24 1
8 32 1
8 45 1
8 69 1
8 76 1
8 84 1
9 15 1
9 25 1
9 30 1
9 47 1
9 58 1
9 63 1
9 72 1
9 76 1
9 79 1
9 99 1
9 100 1
10 32 1
10 33 1
10 49 1
10 63 1
10 80 1
10 85 1
10 92 1
10 100 1
11 12 1
11 21 1
11 22 1
11 23 1
11 84 1
12 20 1
12 88 1
12 96 1
13 19 1
13 46 1
13 50 1
13 53 1
13 54 1
13 55 1
13 65 1
14 15 1
14 23 1
14 50 1
14 55 1
14 61 1
14 62 1
14 71 1
14 73 1
14 74 1
14 85 1
14 89 1
14 90 1
14 96 1
15 31 1
15 33 1
15 34 1
15 37 1
15 52 1
15 69 1
15 81 1
15 93 1
15 100 1
16 17 1
16 32 1
16 39 1
16 63 1
16 75 1
17 22 1
17 25 1
17 31 1
17 54 1
17 63 1
17 64 1
17 78 1
17 88 1
17 89 1
17 94 1
18 23 1
18 37 1
18 42 1
18 51 1
18 71 1
18 75 1
18 83 1
18 94 1
18 95 1
19 26 1
19 57 1
19 60 1
19 65 1
19 77 1
20 28 1
20 30 1
20 36 1
20 37 1
20 47 1
20 60 1
20 85 1
20 88 1
20 90 1
21 37 1
21 46 1
21 50 1
21 53 1
21 75 1
21 78 1
21 84 1
22 36 1
22 54 1
22 74 1
22 83 1
22 87 1
22 94 1
23 41 1
23 75 1
23 77 1
23 86 1
23 92 1
24 37 1
24 85 1
24 94 1
25 46 1
25 58 1
25 67 1
25 69 1
25 72 1
25 76 1
26 56 1
26 73 1
27 30 1
27 51 1
27 60 1
27 62 1
27 71 1
27 73 1
27 82 1
27 84 1
27 87 1
27 92 1
28 30 1
28 41 1
28 42 1
28 50 1
28 55 1
28 61 1
28 72 1
29 45 1
29 64 1
29 65 1
29 70 1
29 77 1
29 98 1
30 54 1
30 58 1
30 61 1
30 88 1
31 37 1
31 67 1
31 72 1
31 77 1
31 84 1
31 90 1
31 98 1
32 35 1
32 38 1
32 57 1
32 58 1
32 63 1
32 77 1
32 87 1
33 97 1
33 99 1
34 67 1
34 93 1
35 52 1
35 63 1
35 74 1
35 76 1
35 94 1
36 44 1
36 51 1
36 68 1
36 86 1
36 94 1
36 97 1
37 39 1
37 52 1
37 94 1
38 47 1
38 70 1
38 73 1
38 81 1
39 64 1
39 67 1
39 73 1
39 76 1
39 90 1
40 43 1
40 46 1
40 50 1
40 65 1
40 70 1
40 73 1
40 95 1
41 78 1
42 43 1
42 47 1
42 50 1
42 52 1
42 84 1
42 98 1
43 47 1
43 48 1
43 61 1
43 79 1
43 93 1
44 45 1
44 58 1
44 66 1
44 85 1
44 88 1
44 92 1
45 51 1
45 63 1
45 66 1
45 80 1
45 93 1
45 97 1
46 57 1
46 64 1
46 69 1
46 77 1
46 81 1
46 84 1
46 89 1
46 95 1
46 96 1
47 59 1
47 65 1
47 68 1
47 75 1
47 79 1
47 88 1
48 49 1
48 57 1
48 65 1
48 70 1
48 77 1
48 94 1
49 55 1
49 58 1
49 64 1
49 76 1
49 90 1
49 98 1
49 100 1
50 80 1
50 82 1
51 68 1
51 71 1
51 82 1
51 91 1
51 99 1
52 57 1
52 98 1
53 75 1
53 76 1
53 100 1
54 60 1
54 99 1
55 59 1
55 67 1
55 75 1
55 80 1
55 84 1
55 98 1
56 62 1
56 68 1
56 87 1
56 91 1
56 99 1
57 63 1
57 68 1
57 78 1
57 94 1
57 96 1
58 68 1
58 84 1
58 92 1
59 63 1
59 98 1
60 68 1
60 70 1
60 75 1
60 85 1
60 86 1
60 92 1
60 94 1
61 79 1
61 81 1
61 85 1
61 100 1
62 70 1
62 77 1
62 78 1
62 89 1
63 66 1
63 69 1
63 93 1
63 94 1
63 99 1
63 100 1
64 89 1
64 95 1
65 87 1
65 93 1
65 98 1
65 100 1
66 90 1
67 69 1
67 78 1
69 88 1
70 75 1
70 82 1
70 91 1
70 92 1
72 91 1
72 98 1
73 79 1
73 80 1
73 83 1
73 99 1
74 75 1
74 86 1
75 85 1
75 91 1
75 92 1
75 97 1
76 79 1
76 95 1
76 100 1
77 82 1
78 79 1
79 81 1
79 90 1
79 94 1
79 100 1
80 89 1
81 84 1
81 93 1
82 98 1
84 90 1
84 95 1
85 88 1
85 90 1
86 87 1
86 90 1
86 100 1
89 95 1
93 100 1
97 98 1
