200 10026
1 2 1
1 5 1
1 6 1
1 7 1
1 8 1
1 15 1
1 16 1
1 17 1
1 19 1
1 20 1
1 21 1
1 26 1
1 28 1
1 31 1
1 32 1
1 33 1
1 36 1
1 37 1
1 38 1
1 40 1
1 41 1
1 45 1
1 47 1
1 48 1
1 51 1
1 52 1
1 54 1
1 56 1
1 67 1
1 71 1
1 72 1
1 75 1
1 78 1
1 85 1
1 86 1
1 87 1
1 90 1
1 91 1
1 94 1
1 97 1
1 99 1
1 101 1
1 102 1
1 104 1
1 105 1
1 106 1
1 108 1
1 109 1
1 115 1
1 116 1
1 117 1
1 118 1
1 120 1
1 126 1
1 127 1
1 129 1
1 133 1
1 134 1
1 135 1
1 138 1
1 141 1
1 142 1
1 145 1
1 146 1
1 147 1
1 150 1
1 153 1
1 154 1
1 157 1
1 158 1
1 159 1
1 161 1
1 164 1
1 165 1
1 166 1
1 167 1
1 168 1
1 170 1
1 174 1
1 176 1
1 179 1
1 182 1
1 183 1
1 185 1
1 186 1
1 187 1
1 188 1
1 189 1
1 191 1
1 193 1
1 194 1
1 195 1
1 199 1
2 3 1
2 7 1
2 8 1
2 9 1
2 10 1
2 15 1
2 17 1
2 21 1
2 22 1
2 24 1
2 25 1
2 26 1
2 28 1
2 31 1
2 32 1
2 33 1
2 34 1
2 38 1
2 40 1
2 42 1
2 43 1
2 50 1
2 51 1
2 52 1
2 53 1
2 54 1
2 55 1
2 56 1
2 57 1
2 58 1
2 59 1
2 60 1
2 61 1
2 62 1
2 65 1
2 67 1
2 68 1
2 69 1
2 70 1
2 71 1
2 72 1
2 73 1
2 75 1
2 76 1
2 80 1
2 82 1
2 86 1
2 87 1
2 88 1
2 89 1
2 91 1
2 93 1
2 94 1
2 95 1
2 96 1
2 98 1
2 99 1
2 100 1
2 102 1
2 106 1
2 109 1
2 110 1
2 111 1
2 112 1
2 113 1
2 114 1
2 115 1
2 116 1
2 119 1
2 122 1
2 126 1
2 127 1
2 132 1
2 133 1
2 134 1
2 135 1
2 137 1
2 138 1
2 142 1
2 143 1
2 144 1
2 146 1
2 148 1
2 150 1
2 152 1
2 153 1
2 155 1
2 156 1
2 165 1
2 166 1
2 169 1
2 171 1
2 173 1
2 174 1
2 176 1
2 177 1
2 178 1
2 179 1
2 181 1
2 184 1
2 185 1
2 186 1
2 189 1
2 191 1
2 193 1
2 194 1
2 198 1
2 199 1
2 200 1
3 4 1
3 7 1
3 8 1
3 12 1
3 13 1
3 14 1
3 16 1
3 18 1
3 19 1
3 20 1
3 21 1
3 22 1
3 24 1
3 25 1
3 29 1
3 30 1
3 31 1
3 32 1
3 34 1
3 35 1
3 36 1
3 37 1
3 39 1
3 42 1
3 44 1
3 46 1
3 47 1
3 50 1
3 51 1
3 52 1
3 53 1
3 54 1
3 56 1
3 57 1
3 58 1
3 59 1
3 60 1
3 61 1
3 62 1
3 63 1
3 64 1
3 66 1
3 67 1
3 71 1
3 73 1
3 74 1
3 76 1
3 77 1
3 78 1
3 81 1
3 84 1
3 85 1
3 86 1
3 87 1
3 89 1
3 90 1
3 91 1
3 93 1
3 95 1
3 96 1
3 97 1
3 99 1
3 100 1
3 101 1
3 102 1
3 103 1
3 104 1
3 105 1
3 107 1
3 108 1
3 109 1
3 111 1
3 112 1
3 114 1
3 115 1
3 116 1
3 117 1
3 118 1
3 123 1
3 126 1
3 127 1
3 128 1
3 131 1
3 133 1
3 134 1
3 135 1
3 137 1
3 138 1
3 140 1
3 142 1
3 143 1
3 147 1
3 150 1
3 151 1
3 153 1
3 157 1
3 160 1
3 162 1
3 163 1
3 165 1
3 170 1
3 171 1
3 174 1
3 175 1
3 184 1
3 185 1
3 187 1
3 188 1
3 192 1
3 193 1
3 196 1
3 198 1
3 200 1
4 6 1
4 7 1
4 15 1
4 19 1
4 21 1
4 26 1
4 27 1
4 28 1
4 29 1
4 30 1
4 31 1
4 33 1
4 37 1
4 38 1
4 41 1
4 42 1
4 43 1
4 44 1
4 49 1
4 50 1
4 52 1
4 53 1
4 55 1
4 56 1
4 62 1
4 64 1
4 65 1
4 67 1
4 68 1
4 69 1
4 72 1
4 73 1
4 74 1
4 76 1
4 77 1
4 79 1
4 80 1
4 81 1
4 85 1
4 87 1
4 88 1
4 89 1
4 90 1
4 93 1
4 94 1
4 95 1
4 96 1
4 97 1
4 100 1
4 101 1
4 104 1
4 107 1
4 109 1
4 110 1
4 112 1
4 113 1
4 114 1
4 116 1
4 118 1
4 120 1
4 122 1
4 125 1
4 127 1
4 129 1
4 131 1
4 137 1
4 138 1
4 140 1
4 146 1
4 148 1
4 149 1
4 153 1
4 154 1
4 155 1
4 156 1
4 158 1
4 160 1
4 161 1
4 163 1
4 164 1
4 165 1
4 168 1
4 170 1
4 172 1
4 173 1
4 176 1
4 178 1
4 180 1
4 184 1
4 185 1
4 188 1
4 190 1
4 193 1
4 194 1
4 195 1
4 196 1
4 197 1
5 8 1
5 11 1
5 12 1
5 13 1
5 20 1
5 21 1
5 23 1
5 25 1
5 26 1
5 28 1
5 29 1
5 31 1
5 38 1
5 40 1
5 41 1
5 50 1
5 52 1
5 57 1
5 58 1
5 60 1
5 61 1
5 63 1
5 64 1
5 68 1
5 69 1
5 70 1
5 71 1
5 72 1
5 74 1
5 76 1
5 77 1
5 79 1
5 80 1
5 82 1
5 85 1
5 86 1
5 88 1
5 89 1
5 90 1
5 94 1
5 97 1
5 99 1
5 100 1
5 101 1
5 102 1
5 103 1
5 105 1
5 106 1
5 110 1
5 111 1
5 113 1
5 114 1
5 115 1
5 118 1
5 119 1
5 120 1
5 121 1
5 127 1
5 130 1
5 131 1
5 132 1
5 133 1
5 134 1
5 137 1
5 144 1
5 146 1
5 149 1
5 150 1
5 155 1
5 157 1
5 159 1
5 162 1
5 163 1
5 164 1
5 165 1
5 167 1
5 169 1
5 171 1
5 175 1
5 177 1
5 178 1
5 179 1
5 181 1
5 185 1
5 186 1
5 187 1
5 190 1
5 194 1
5 195 1
5 197 1
5 198 1
5 199 1
6 12 1
6 14 1
6 15 1
6 16 1
6 17 1
6 18 1
6 19 1
6 23 1
6 24 1
6 27 1
6 30 1
6 31 1
6 33 1
6 34 1
6 35 1
6 36 1
6 39 1
6 40 1
6 43 1
6 45 1
6 51 1
6 56 1
6 58 1
6 59 1
6 65 1
6 69 1
6 72 1
6 74 1
6 75 1
6 76 1
6 77 1
6 78 1
6 79 1
6 80 1
6 81 1
6 83 1
6 84 1
6 88 1
6 91 1
6 96 1
6 97 1
6 98 1
6 99 1
6 102 1
6 103 1
6 108 1
6 110 1
6 112 1
6 115 1
6 117 1
6 118 1
6 120 1
6 122 1
6 123 1
6 125 1
6 127 1
6 128 1
6 132 1
6 136 1
6 137 1
6 138 1
6 139 1
6 140 1
6 143 1
6 147 1
6 149 1
6 150 1
6 151 1
6 153 1
6 154 1
6 158 1
6 169 1
6 170 1
6 171 1
6 172 1
6 174 1
6 175 1
6 180 1
6 181 1
6 183 1
6 185 1
6 189 1
6 192 1
6 193 1
6 197 1
6 198 1
7 10 1
7 14 1
7 15 1
7 18 1
7 22 1
7 24 1
7 26 1
7 28 1
7 30 1
7 32 1
7 33 1
7 34 1
7 35 1
7 36 1
7 42 1
7 43 1
7 44 1
7 46 1
7 49 1
7 50 1
7 54 1
7 55 1
7 56 1
7 57 1
7 58 1
7 61 1
7 69 1
7 70 1
7 71 1
7 72 1
7 73 1
7 74 1
7 75 1
7 76 1
7 77 1
7 82 1
7 83 1
7 86 1
7 88 1
7 90 1
7 92 1
7 94 1
7 95 1
7 96 1
7 97 1
7 99 1
7 101 1
7 103 1
7 106 1
7 107 1
7 108 1
7 109 1
7 114 1
7 119 1
7 121 1
7 122 1
7 123 1
7 130 1
7 131 1
7 132 1
7 134 1
7 137 1
7 138 1
7 140 1
7 142 1
7 143 1
7 144 1
7 145 1
7 150 1
7 151 1
7 152 1
7 154 1
7 155 1
7 157 1
7 158 1
7 161 1
7 162 1
7 163 1
7 164 1
7 165 1
7 166 1
7 168 1
7 169 1
7 170 1
7 172 1
7 174 1
7 175 1
7 176 1
7 178 1
7 179 1
