50 613
1 4 1
1 6 1
1 7 1
1 9 1
1 11 1
1 12 1
1 15 1
1 16 1
1 24 1
1 27 1
1 32 1
1 34 1
1 35 1
1 36 1
1 37 1
1 38 1
1 39 1
1 40 1
1 42 1
1 46 1
1 47 1
1 48 1
1 49 1
2 3 1
2 4 1
2 6 1
2 8 1
2 11 1
2 13 1
2 16 1
2 17 1
2 20 1
2 21 1
2 23 1
2 25 1
2 26 1
2 28 1
2 30 1
2 33 1
2 37 1
2 38 1
2 39 1
2 40 1
2 44 1
3 4 1
3 6 1
3 9 1
3 12 1
3 13 1
3 15 1
3 17 1
3 18 1
3 19 1
3 21 1
3 23 1
3 27 1
3 29 1
3 34 1
3 36 1
3 37 1
3 40 1
3 41 1
3 42 1
3 43 1
3 49 1
3 50 1
4 7 1
4 10 1
4 12 1
4 13 1
4 16 1
4 20 1
4 21 1
4 22 1
4 23 1
4 24 1
4 25 1
4 26 1
4 28 1
4 29 1
4 31 1
4 37 1
4 39 1
4 41 1
4 43 1
4 44 1
4 47 1
4 50 1
5 7 1
5 10 1
5 11 1
5 15 1
5 16 1
5 21 1
5 22 1
5 24 1
5 25 1
5 27 1
5 28 1
5 30 1
5 38 1
5 39 1
5 40 1
5 43 1
5 45 1
5 46 1
5 48 1
5 50 1
6 7 1
6 11 1
6 12 1
6 15 1
6 18 1
6 21 1
6 22 1
6 24 1
6 27 1
6 28 1
6 31 1
6 32 1
6 33 1
6 35 1
6 38 1
6 45 1
6 47 1
6 48 1
6 49 1
6 50 1
7 8 1
7 10 1
7 11 1
7 14 1
7 16 1
7 20 1
7 21 1
7 22 1
7 25 1
7 26 1
7 29 1
7 30 1
7 31 1
7 32 1
7 36 1
7 37 1
7 38 1
7 39 1
7 40 1
7 43 1
7 44 1
7 45 1
7 46 1
7 47 1
7 49 1
7 50 1
8 9 1
8 10 1
8 12 1
8 17 1
8 19 1
8 20 1
8 21 1
8 23 1
8 29 1
8 30 1
8 32 1
8 34 1
8 35 1
8 36 1
8 39 1
8 47 1
8 49 1
9 11 1
9 12 1
9 13 1
9 14 1
9 16 1
9 18 1
9 19 1
9 20 1
9 21 1
9 22 1
9 25 1
9 29 1
9 36 1
9 37 1
9 38 1
9 41 1
9 42 1
9 43 1
9 45 1
9 47 1
9 48 1
9 50 1
10 12 1
10 15 1
10 18 1
10 19 1
10 20 1
10 21 1
10 22 1
10 28 1
10 30 1
10 32 1
10 33 1
10 35 1
10 40 1
10 42 1
10 43 1
10 44 1
10 45 1
10 47 1
10 49 1
10 50 1
11 12 1
11 13 1
11 14 1
11 15 1
11 17 1
11 19 1
11 22 1
11 23 1
11 26 1
11 28 1
11 29 1
11 30 1
11 32 1
11 33 1
11 35 1
11 38 1
11 39 1
11 46 1
11 47 1
11 49 1
12 14 1
12 17 1
12 20 1
12 21 1
12 25 1
12 26 1
12 27 1
12 29 1
12 31 1
12 32 1
12 33 1
12 34 1
12 35 1
12 37 1
12 38 1
12 44 1
12 46 1
12 48 1
12 49 1
13 14 1
13 15 1
13 19 1
13 20 1
13 23 1
13 24 1
13 25 1
13 29 1
13 31 1
13 32 1
13 35 1
13 38 1
13 39 1
13 41 1
13 44 1
13 46 1
13 47 1
13 49 1
13 50 1
14 15 1
14 16 1
14 17 1
14 18 1
14 19 1
14 21 1
14 22 1
14 24 1
14 25 1
14 26 1
14 28 1
14 29 1
14 30 1
14 31 1
14 32 1
14 36 1
14 39 1
14 40 1
14 42 1
14 44 1
14 45 1
14 48 1
14 49 1
14 50 1
15 17 1
15 19 1
15 21 1
15 22 1
15 23 1
15 27 1
15 29 1
15 31 1
15 33 1
15 34 1
15 35 1
15 36 1
15 39 1
15 41 1
15 42 1
15 46 1
15 47 1
15 48 1
16 17 1
16 18 1
16 22 1
16 24 1
16 25 1
16 27 1
16 28 1
16 30 1
16 32 1
16 34 1
16 35 1
16 37 1
16 38 1
16 40 1
16 41 1
16 42 1
16 45 1
16 46 1
16 47 1
16 50 1
17 18 1
17 19 1
17 23 1
17 25 1
17 27 1
17 34 1
17 37 1
17 40 1
17 41 1
17 42 1
17 46 1
17 48 1
17 49 1
17 50 1
18 19 1
18 20 1
18 21 1
18 22 1
18 26 1
18 28 1
18 32 1
18 33 1
18 34 1
18 36 1
18 39 1
18 41 1
18 44 1
18 47 1
18 48 1
19 25 1
19 27 1
19 28 1
19 29 1
19 30 1
19 32 1
19 34 1
19 35 1
19 41 1
19 42 1
19 44 1
19 49 1
19 50 1
20 21 1
20 22 1
20 25 1
20 26 1
20 27 1
