200 1947
1 3 1
1 7 1
1 15 1
1 23 1
1 65 1
1 70 1
1 87 1
1 108 1
1 131 1
1 134 1
1 136 1
1 138 1
1 151 1
1 161 1
1 165 1
1 185 1
1 186 1
1 196 1
1 198 1
2 16 1
2 22 1
2 25 1
2 43 1
2 49 1
2 57 1
2 85 1
2 96 1
2 97 1
2 99 1
2 108 1
2 144 1
2 150 1
2 161 1
2 162 1
2 163 1
2 168 1
2 180 1
2 187 1
3 7 1
3 8 1
3 33 1
3 47 1
3 57 1
3 59 1
3 60 1
3 65 1
3 75 1
3 77 1
3 90 1
3 99 1
3 105 1
3 120 1
3 124 1
3 138 1
3 140 1
3 145 1
3 159 1
3 174 1
3 182 1
4 7 1
4 9 1
4 18 1
4 23 1
4 58 1
4 63 1
4 65 1
4 78 1
4 79 1
4 88 1
4 95 1
4 103 1
4 119 1
4 124 1
4 131 1
4 134 1
4 137 1
4 146 1
4 154 1
4 168 1
4 191 1
5 6 1
5 12 1
5 13 1
5 16 1
5 29 1
5 43 1
5 53 1
5 63 1
5 73 1
5 80 1
5 88 1
5 108 1
5 112 1
5 134 1
5 153 1
5 160 1
5 190 1
5 198 1
6 8 1
6 10 1
6 12 1
6 37 1
6 40 1
6 42 1
6 46 1
6 50 1
6 73 1
6 81 1
6 82 1
6 90 1
6 100 1
6 117 1
6 118 1
6 127 1
6 130 1
6 136 1
6 151 1
6 153 1
6 158 1
6 164 1
6 170 1
6 192 1
7 8 1
7 9 1
7 14 1
7 17 1
7 38 1
7 40 1
7 46 1
7 49 1
7 59 1
7 67 1
7 85 1
7 91 1
7 107 1
7 123 1
7 132 1
7 138 1
7 139 1
7 144 1
7 146 1
7 159 1
7 188 1
7 189 1
7 191 1
8 12 1
8 23 1
8 37 1
8 38 1
8 78 1
8 79 1
8 92 1
8 103 1
8 116 1
8 157 1
8 171 1
8 191 1
9 13 1
9 17 1
9 22 1
9 37 1
9 39 1
9 50 1
9 57 1
9 59 1
9 68 1
9 86 1
9 102 1
9 120 1
9 133 1
9 183 1
9 192 1
9 197 1
10 11 1
10 15 1
10 61 1
10 86 1
10 122 1
10 145 1
10 176 1
10 199 1
11 24 1
11 33 1
11 46 1
11 63 1
11 78 1
11 105 1
11 107 1
11 114 1
11 117 1
11 126 1
11 146 1
11 149 1
11 179 1
11 181 1
11 183 1
11 191 1
11 192 1
11 197 1
12 23 1
12 28 1
12 32 1
12 40 1
12 41 1
12 50 1
12 59 1
12 71 1
12 76 1
12 90 1
12 112 1
12 121 1
12 126 1
12 133 1
12 136 1
12 138 1
12 143 1
12 152 1
12 190 1
12 194 1
13 20 1
13 23 1
